ud,pc,zf,p,o,h,l,yc,cje,v,pv,tv,t,dm
57.052,0.8355,0.869,6885.365,6826.028,6885.365,6826.028,6828.313,21875140200,6252393,6252393,17332,2025-07-17 15:00:09,000147
63.375,0.7149,0.7996,8928.073,8857.922,8928.801,8857.922,8864.698,82514820500,44402198,44402198,134038,2025-07-17 15:00:09,000148
-16.454,-0.4011,0.6418,4086.073,4096.202,4104.525,4078.194,4102.527,25407768500,27816912,27816912,71858,2025-07-17 15:00:09,000149
6.822,0.0586,0.7605,11657.784,11654.422,11696.065,11607.457,11650.962,5009555300,7696429,7696429,29870,2025-07-17 15:00:09,000150
-6.265,-0.404,0.7811,1544.534,1551.114,1554.244,1542.13,1550.799,14922747400,18571523,18571523,44211,2025-07-17 15:00:09,000151
-10.009,-0.3513,0.6504,2838.844,2844.086,2851.672,2833.142,2848.853,22518616300,27851415,27851415,60553,2025-07-17 15:00:09,000152
0.804,0.0268,0.6832,3001.031,3001.532,3010.271,2989.772,3000.227,4204515800,5224904,5224904,20206,2025-07-17 15:00:09,000153
10.127,0.3429,0.5622,2963.594,2950.664,2963.74,2947.135,2953.467,134382922500,70262022,70262022,267273,2025-07-17 15:00:09,000155
6.832,0.6004,1.3784,1144.787,1148.316,1153.825,1138.139,1137.955,20574146500,14496704,14496704,63555,2025-07-17 15:00:09,000158
19.483,0.6066,0.6734,3231.577,3210.575,3231.577,3209.948,3212.094,495974299300,369354958,369354958,1514287,2025-07-17 15:00:09,000159
0.617,0.0345,0.4501,1790.571,1786.95,1791.278,1783.221,1789.954,30774177600,41162533,41162533,164008,2025-07-17 15:00:09,000160
22.531,1.5312,1.4666,1493.991,1474.36,1493.991,1472.411,1471.46,76098184300,37095549,37095549,114457,2025-07-17 15:00:09,000161
25.926,0.7778,0.9285,3359.387,3332.344,3359.572,3328.62,3333.461,40944111100,21482885,21482885,98339,2025-07-17 15:00:09,000162
-5.542,-0.1006,0.5924,5505.221,5509.559,5519.556,5486.91,5510.763,57998606400,23556132,23556132,1105,2025-07-17 15:04:58,000170
27.031,2.0929,2.2347,1318.612,1289.749,1318.612,1289.749,1291.581,139879084000,28959154,2895915438,107891,2025-07-17 15:00:12,000171
27.289,0.681,0.7368,4034.491,4005.067,4034.594,4005.067,4007.202,325516865700,161249041,161249041,502779,2025-07-17 15:00:09,000300
42.384,0.9004,0.9473,4749.736,4705.233,4749.828,4705.233,4707.352,452698024300,231651097,231651097,425771,2025-07-17 15:00:09,000510
19.674,1.583,1.8539,1262.486,1243.556,1262.512,1239.472,1242.812,124104552400,34859668,34859668,201110,2025-07-17 15:00:09,000680
18.969,1.5791,1.8538,1220.242,1201.946,1220.268,1197.999,1201.273,124104552400,34859668,34859668,201110,2025-07-17 15:00:09,000681
9.784,0.7164,1.4117,1375.505,1364.472,1375.537,1356.257,1365.721,29444567800,4163621,4163621,36117,2025-07-17 15:00:09,000682
36.205,3.1928,3.5253,1170.158,1136.016,1171.731,1131.756,1133.953,17361385300,3912337,3912337,15808,2025-07-17 15:00:09,000683
9.564,0.5665,1.5598,1697.822,1686.052,1697.822,1671.488,1688.258,25057713300,2848180,2848180,19746,2025-07-17 15:00:09,000685
14.736,1.413,1.7805,1057.63,1042.946,1058.28,1039.711,1042.894,12664221100,3416189,3416189,24813,2025-07-17 15:00:09,000687
8.018,0.8037,1.314,1005.648,997.712,1005.665,992.556,997.63,28343835500,5353465,5353465,55632,2025-07-17 15:00:09,000688
14.168,1.6051,1.8594,896.857,884.239,896.969,880.556,882.689,7965300300,2818159,2818159,17661,2025-07-17 15:00:09,000689
21.896,1.8574,2.1827,1200.771,1178.478,1200.782,1175.051,1178.875,28330048000,4105535,4105535,18714,2025-07-17 15:00:09,000690
8.295,0.7522,1.2004,1111.077,1103.435,1111.125,1097.887,1102.782,19389505100,3045046,3045046,25295,2025-07-17 15:00:09,000691
12.997,1.4664,1.5192,899.335,892.917,899.335,885.87,886.338,9158189100,4812784,4812784,32634,2025-07-17 15:00:09,000692
16.138,1.4558,1.8683,1124.702,1108.462,1124.921,1104.21,1108.564,9777613300,2747020,2747020,19591,2025-07-17 15:00:09,000693
7.96,0.9853,1.336,815.869,808.556,816.018,805.224,807.909,18998918700,3875878,3875878,40486,2025-07-17 15:00:09,000695
14.638,1.3935,2.0182,1065.069,1049.908,1066.69,1045.49,1050.431,12841977800,3576074,3576074,13339,2025-07-17 15:00:09,000697
19.624,1.8111,2.1281,1103.149,1084.444,1103.89,1080.832,1083.525,28534529300,6181609,6181609,33142,2025-07-17 15:00:09,000698
25.517,2.515,2.8405,1040.106,1014.571,1040.106,1011.287,1014.589,41177574800,13958579,13958579,60907,2025-07-17 15:00:09,000699
48.007,0.7578,0.7864,6382.702,6334.123000000001,6382.702,6332.888,6334.695,95952374600,77871678,77871678,296957,2025-07-17 15:00:09,000802
23.77,0.486,0.682,4914.707,4890.206,4917.144,4883.787,4890.937,33775581400,22538612,2253861167,272516,2025-07-17 15:00:12,000805
135.766,1.5927,1.731,8659.808,8523.443,8659.892,8512.342,8524.042,48010852900,16740589,1674058920,62767,2025-07-17 15:00:12,000808
